year,female,male,single,married,full_time,part_time,visa_f,visa_j,visa_other,Total
2007,278841,344964,543958,79847,575772,48033,552691,31814,39300,2495220
2008,304242,367374,591694,79922,613185,58431,589007,39625,42984,2686464
2009,309534,381389,615612,75311,637722,53201,612158,38692,40073,2763692
2010,322582,400695,653842,69435,669031,54246,645163,40504,37610,2893108
2011,338671,425824,690339,74156,714038,50457,688810,42047,33638,3057980
2012,363922,455722,744237,75407,769646,49998,747515,42621,29508,3278576
2013,390749,495303,806307,79745,829345,56707,804535,49619,31898,3544208
2014,426043,548883,886208,88718,912531,62395,881333,58496,35097,3899704
2015,451982,591857,950937,92902,971814,72025,957200,52192,34447,4175356
2016,470366,608456,970940,107882,1007620,71202,994674,45311,38837,4315288
2017,477329,617463,999545,95247,1028010,66782,1015967,44886,33939,4379168
2018,480836,614463,1002199,93100,1030676,64623,1018628,44907,31764,4381196
2019,477520,597976,987305,88191,1016344,59152,1000211,44095,31190,4301984
2020,407686,506409,827256,86839,843710,70385,860163,16454,37478,3656380
2021,428731,519788,861255,87264,884020,64499,884020,27507,36992,3794076
2022,473620,583568,966270,90918,986356,70832,989528,34887,32773,4228752
